Age (kyr)	VADM (10^22 Am^2)	Standard error (10^22 Am^2)
963	8.4455616	1.0171583
964	7.0975732	0.51162075
965	7.6680044	0.66513012
966	7.3517046	0.93458374
967	6.2258341	0.63490917
968	5.5938272	0.92437701
969	6.8802485	0.86058535
970	7.2222258	0.81223936
971	7.0255624	0.59475481
972	4.9988573	0.42151311
973	4.6758417	0.59132383
974	4.3385061	1.0937159
975	4.5530498	0.5629985
976	5.9750764	0.65916499
977	5.3953523	0.73433314
978	5.1943841	0.63566541
979	5.6618994	0.50823985
980	6.4100513	0.6763324
981	5.4757516	0.75284204
982	5.9221884	1.0383337
983	5.9546419	0.87061858
984	6.4752878	0.94741118
985	7.5779726	1.1909295
986	4.955873	0.66533832
987	3.0591908	0.70418017
988	4.3899222	0.50088208
989	3.4672737	0.59806631
990	1.329235	0.48743684
991	2.0817715	0.57949946
992	2.9514679	0.57437964
993	4.0886614	0.62029952
994	5.0005501	0.52701418
995	4.6633129	0.40835405
996	6.1219467	0.64827643
997	6.4486735	0.4378209
998	5.9540023	0.49429164
999	6.5306091	0.59884688
1000	7.3242024	0.88733704
1001	6.6762928	0.92195734
1002	6.2443344	0.90778233
